pl_name,pl_bmasse,pl_rade,pl_orbper,pl_eqt,st_mass,st_rad,st_teff
"Kepler-1513 b",48.30991786,8.59400000,160.88420000000,,0.943000,0.950000,5491.00
"TOI-4914 b",227.00000000,12.87000000,10.60057000000,894.00,1.030000,1.000000,5805.00
"TOI-237 c",,1.20600000,1.74486147000,515.00,0.169800,0.205600,3226.00
"TOI-1898 b",129.00000000,9.39553231,45.52234000000,674.54,1.248400,1.613100,6241.00
"KOI-351 f",,2.88000000,124.91440000000,,1.200000,1.200000,6080.00
"Kepler-1812 b",,2.32494240,7.16521978400,,1.162000,1.103000,6174.00
"Kepler-516 b",,5.74000000,24.85462415000,,1.620000,2.020000,7099.00
"Kepler-1685 b",,2.57673985,20.49050000000,,0.960000,0.835451,5484.00
"Kepler-299 e",,1.87000000,38.28548900000,,,1.032000,5617.00
"TOI-1749 b",57.00000000,1.39000000,2.38839000000,831.00,0.580000,0.550000,3985.00
"Kepler-406 b",6.35000000,1.43000000,2.42629000000,,1.070000,1.070000,5538.00
"Kepler-1215 b",,1.22000000,4.76703963000,,0.950000,0.930000,5616.00
"Kepler-82 c",13.90000000,5.34000000,51.54000000000,,0.910000,0.898000,
"Kepler-434 b",908.96000000,12.67000000,12.87470990000,1000.00,1.198000,1.380000,5977.00
"Kepler-1998 b",,0.60000000,3.03267135000,1187.00,0.962000,0.921000,5640.00
"Kepler-189 b",,1.21000000,10.39993100000,,,0.750000,5235.00
"Kepler-400 c",,1.49000000,17.34082400000,,,1.145000,5886.00
"Kepler-852 b",,2.54000000,44.93098040000,,1.190000,1.160000,6100.00
"Kepler-444 e",,0.54600000,7.74349300000,,0.758000,0.752000,5046.00
"WASP-89 b",1875.19700000,11.65736000,3.35642270000,1120.00,0.920000,0.880000,5130.00
"K2-415 b",7.50000000,1.01500000,4.01796940000,412.40,0.163500,0.196500,3173.00
"Kepler-328 c",39.40000000,5.40000000,71.31200000000,,1.150000,1.060000,
"HATS-13 b",172.58169000,13.58530800,3.04404990000,1244.00,0.962000,0.887000,5523.00
"Kepler-476 b",,3.08000000,14.00640607000,,1.030000,1.090000,5837.00
"HIP 94235 b",379.00000000,3.00000000,7.71305700000,1060.00,1.094000,1.080000,5991.00
